"","GSM1274110","GSM1274111","GSM1274112","GSM1274108","GSM1274109"
"Cdh29",5.19011813896667,5.30850703256667,5.0990545106,5.56440573643333,5.12737432516667
"Esr1",4.99977780196667,5.30853973296667,5.0625006789,5.564225249,5.61101315316667
"Ssty1",5.03784184446667,5.15646741926667,5.01554751488333,5.5246249961,5.49857307893333
"Mthfd2l",5.95724618153333,6.564370587,6.0104231356,5.20553491986667,5.89860277343333
"Olfr486",4.99157477323333,5.14908889046667,5.1790125214,4.98769529313333,5.0687846862
"Akap17b",5.58671361996667,5.31448054073333,5.01952488,5.8829954121,5.29303057613333
"Crnn",5.19258715356667,5.67216012156667,5.55620191963333,7.2572769452,6.10770622533333
"Cdca4",7.56916819406667,7.4256425642,7.0357994538,5.575682877,7.161524725
"Olfr315",5.03953533496667,5.09569276498333,5.2083266424,5.15227852953333,5.8730598871
"Zfp354a",5.00979097253333,4.97694823001667,5.08024700185,5.52876077016667,5.07109405311667
"Nupr1",8.39185179,8.90518641456667,8.8965348353,6.87039507553333,6.86095084376667
"Evc",5.32813740783333,5.69032736213333,5.96307107826667,8.15847907893333,6.33188780333333
"Notch1",5.71812787513333,5.68456820646667,5.45477082813333,7.0529507855,6.0992544189
"Gm7167",5.2355017669,5.0394548107,5.51790180226667,5.04362627763333,5.0095257364
"Fbxo39",5.3950228865,5.86142073743333,5.63499879366667,5.58645654516667,7.3066432696
"Csmd3",4.99055107386667,5.05255695633333,5.35981886526667,5.035027854,5.06882524836667
"Gm6146",6.38348176893333,6.1785734893,6.19919045716667,5.17825045863333,5.5176201086
"Nfib",5.52832879783333,4.97318699483333,5.0159583844,5.0311949978,5.05018215303333
"AB124611",11.460498029,11.5769402496667,11.8537485876667,12.9111892763333,12.373522037
"Slc7a8",5.88255434753333,6.09545316746667,5.84309609906667,5.11964033553333,5.17516443086667
"Hrasls5",5.1432233408,5.44249548033333,5.21851922826667,6.59596485433333,5.69132395696667
"Unc13a",5.08327081536667,5.2518779001,5.3657716502,5.1510116676,5.04530116653333
"Igsf1",5.0082603617,5.0466542598,5.38843253986667,5.13274874456667,5.77738393646667
"Atp6v0a4",4.95289738571667,5.13613077393333,5.27898490066667,5.03263793853333,5.08529016916667
"Gzmn",5.00504346206667,5.10551189588333,5.0638982,5.08698323346667,5.31723090486667
"Trfr2",5.1422318909,5.27990842506667,5.53829195833333,6.0236760566,5.3930448487
"Kcnip1",5.0895690387,5.0325757374,6.0612014956,5.19431803093333,5.07914282546667
"2410002F23Rik",8.72693896326667,8.37273844486667,8.18773784293333,8.03387280133333,8.62200541006667
"Olfr181",5.1691465339,5.05310809311667,5.15015318281667,5.03689735626667,5.00238157666667
"Armcx5",6.54254638293333,7.0220820696,6.77596291276667,5.32265876033333,6.526952355
"Gm5458",5.86686301793333,5.9423374438,5.74699965056667,5.10410565353333,5.51108342706667
"Speer3",5.11292894923333,4.99939147493333,5.22928028653333,5.2176058104,5.13381583306667
"Clec12a",5.0355671547,5.1705189304,5.18834453813333,5.07447191073333,5.4395034918
"Gabbr2",4.98513730346667,5.34634638446667,5.16709433786667,5.49847849116667,5.07897568756667
"Fes",9.71484981516667,10.078640188,9.85613595286667,9.0578148797,9.36488526103333
"Nppa",5.96277030776667,5.23251591066667,5.70673340193333,6.0197509836,5.63120259243333
