"","EE_50.300","EE_50.330","EE_50.360","EE_50.390","EE_50.420","EE_50.450","YA","AdultSPE9"
"F55C5.3",0.0725099043453667,0.289983152464228,0.334763901460236,0.450519243762158,0.370538160785055,0.354465701650539,2.86830154750535,0.621198077298939
"F55C5.5",4.99032411055111,4.94770355605308,5.03852836650253,4.6824665519431,4.51523936376514,4.57216814050312,5.82605521735639,5.24786676711035
"F55C5.4",5.44641504995918,5.05542561316723,6.36935654986924,5.6815870063173,5.3861177070378,4.93305797265108,4.87014274942513,5.60443906911668
"F55C5.10",5.23037211732418,3.35186574370367,3.95327455270357,5.10149460488992,4.1080309288517,2.54507876232379,0.231901760972793,0.59492302839893
"F55C5.7",6.55081141667335,6.07180342039822,5.53173702152932,6.06428792756412,6.13180552671368,6.14562447389645,5.81023485948949,6.43238321608548
"F55C5.8",6.96881652622741,6.96951891221897,7.31919340092227,6.99429685947338,7.04291788077043,7.01759904659409,6.51914872038058,6.44948874282867
"F55C5.9",1.44303900904827,0.783976224363619,1.85533595256311,1.99428644899276,1.94645763910045,1.39910545312091,0.427356227009371,0.117111065145912
"F55C5.12",0,0,0,0,0,0,0,0
"F55C5.14",0,0,0,0,0,3.48717760838915,0,0
"F55C5.13",0,0,0,0,0,0,0,0
"F55C5.16",0,0,0,0,0,0,0,1.9464052346311
"C51F7.1",7.22596895962174,7.49742874400684,7.12436949607905,7.15716500788041,7.43257530538597,7.48194470273327,5.13028431194973,5.97935316596524
"C51F7.3",0,0,0,0,0,0,4.96664733517559,5.21225415259455
"R04F11.1",0,0.384212308118829,0,0.495764737728498,0.217598013747014,0.364515283632255,1.13031808838738,0.662550975770764
"R04F11.24",0,0,0,0,0,0,0,0
"R04F11.22",0,0,0,0,0,0,0,0
"R04F11.3",5.87407888171167,5.46395589115591,5.6118451660049,5.9667995846272,5.87307739373875,5.82221262210474,6.24285207896621,6.08075571552712
"R04F11.5",6.0674752342961,5.48796219558464,5.42454591756113,6.29536304044129,5.98318288035815,5.74116762983217,5.88510819509813,4.37504638407736
"R04F11.2",9.16187005156859,8.71211081145152,9.06083641200534,9.57852931292878,9.19498087328936,8.85978634313305,9.58972416881546,8.2676621968867
"R04F11.4",1.2969272162748,2.00818566857795,0.333448923418695,0.809799660294438,1.1702263329351,2.27840708278729,2.13024229625291,0.858948569720745
"R04F11.25",0,0,0,0,0,0,0,0
"R04F11.27",0,0,0,0,0,0,0,0
"R04F11.13",0,0,0,0,0,0,0,0
"R04F11.17",0,0,0,0,0,0,0,0
"F23H12.2",7.28636369509969,7.02256755697524,7.53790948591031,7.50134359927713,7.33813912804328,6.9774173164852,7.24057193044874,6.91719303692495
"F23H12.1",2.76880891621395,2.5573610722618,2.44828780759352,3.47239678782552,3.6294265672344,3.47859652612742,5.49951426823438,4.86816817890815
"F23H12.3",2.73356042518541,1.9220341560317,2.41018911970449,2.47654759443821,2.15480029039279,2.99341170032628,3.70862869717498,3.01963431432422
"F23H12.20",0,0,0,0,0,0,0,0
"F23H12.13",7.67048630202452,0,0,0,0,0,0,2.08146916419672
"F23H12.4",11.3093456072314,11.5833460776393,10.3235051802769,11.0089257759539,11.4224958278372,11.3559456726061,5.04472196734098,5.28636739184851
"F23H12.5",3.29163597115797,4.60182723251491,0.464839707531604,2.55811086410778,3.6830563620006,5.01219767261833,1.00511968601081,0.479882421002166
"F23H12.8",0,0,0,0,0,0,5.82519540581482,4.82048023717666
"F23H12.9",0,0.665533758939088,0,0,1.71201462375957,0,7.18364530539466,5.36396651322367
"F23H12.7",0,1.12258658520574,0,0,0,0.481334078391452,0.261713735572552,0.7900605220491
"F23H12.10",2.93138049426503,1.93484104787398,2.34948134532836,2.3387809438947,3.19156265070076,2.78041089517567,2.42454323027509,2.68425321591919
"K01D12.1",1.96002603472365,3.11470683456992,0,0.876652492139907,2.10340028177921,3.86204466162447,0.332066274960191,0.180584550929397
"K01D12.2",0.298821342621846,0.528131192249773,0.105555121785925,0,0.143985004812178,0.568211153280824,1.6539450878273,0.611238492213533
"K01D12.3",0,0.94806702633009,0,0,0.412870387197671,0.749832858551765,0,0.0382572033217702
"K01D12.15",0,0,0,0,0,0,5.3277125105338,1.87569750867424
"K01D12.4",0.432521188901233,0.834532435115232,0,0.217240644410445,0.594237046662852,1.07210580048042,0.498905421688862,0.330605437432325
"K01D12.17",0,0,0,0,0,0,0,0
"K01D12.19",0,0,0,0,0,0,0,0
"K01D12.5",0,0,0.210473653019298,0,0.201740491210307,0,1.85959193398868,0.920226214284771
"K01D12.6",4.53161227325833,4.4395500036968,4.58120058192496,4.61080044262949,4.75255593380555,4.65895977598501,5.43939375075556,4.74811232482833
"K01D12.7",0.796110128766162,0.864473416694654,0,1.54508864985787,0,0,5.88023246943556,4.48837361174517
"K01D12.18",0,0,0,0,0,0,8.48459333345269,6.11385882692403
"K01D12.8",0,0,0,0,0,0,1.799762892958,0.732105923645373
"K01D12.9",0.351036883820734,0,0.468534314066631,0,0.479232631068611,0.875688073585531,2.97089045731598,1.75712995077443
"K01D12.10",0,0,0,0,0,0,0.29967839768008,0
"K01D12.11",1.89364955612484,2.38709504390754,1.37596801946466,1.92263553906592,2.904904080196,2.6658566147979,5.14184556108804,4.01561353126828
