"","L1","LIN35","L2","L3","L4","L4MALE","YA","AdultSPE9"
"T06A4.2",0.148051627477463,0.22171996875377,0.519895112791788,2.84625259598054,4.96986422254882,6.12943758313345,3.25733654595703,1.44622975817806
"T06A4.3",0.937488277796164,1.25942315228141,5.05549936581374,4.02267851388606,4.98596030712491,3.76440985444126,2.26036897050531,1.02241752966244
"T06A4.1",0.375021632204334,0.934699162200038,3.92825660858359,2.76265709630939,2.97274595003407,1.38904360228625,0.500498188463802,0.288758976320012
"T06A4.6",7.63335128446398,0,0,0,0,0,0,0
"T06A4.7",0,0,3.28490199787142,0,0,0,0,0
"Y73A3A.2",0,0,2.55779237269612,1.28147867671591,0,0,0,0
"ZC123.3",4.79578252980194,4.58972154756606,4.04743369011381,4.17649033257693,3.16169907192579,3.81764372112574,2.80826559344456,2.94930333619571
"ZC123.t1",0,0,6.14884261166353,0,0,0,0,3.86170728658586
"ZC123.10",4.57939740511738,0,3.37561067835548e-11,0,0,0,0,0
"ZC123.11",3.06126295609205,0,0,0,0,0,0,0
"ZC123.7",4.43197723890306,0,0,0,0,0,0,0
"ZC123.1",1.17172564308216,3.19870472774296,6.12161225474119,3.70260213929171,4.11280853928634,3.66924224631749,1.10344392579905,1.30243019195218
"ZC123.4",4.76492996066498,4.88010264884107,4.43148924684041,3.43620182476479,2.99883094348505,3.18112163810326,1.85035938803356,1.78005807789837
"Y95B8A.8",4.16694837803294,5.8099185790891,4.06046248798611,3.81589303272329,4.64721663784876,4.57341088422977,4.80821513009901,7.53082767128021
"Y95B8A.7",3.88352306940797,4.53951246073697,3.73841117147008,3.93201391247712,3.88327867323573,3.55593882799576,4.73939989053555,5.87364097004911
"Y95B8A.10",5.53511048776516,5.38881980345817,5.04426733149592,4.94876902752668,4.08602791929201,4.04235541930378,3.86529529308502,2.86124475612022
"Y95B8A.6",3.92097922723563,5.29714004807615,3.46114871502687,3.00067790737346,2.2307502235511,4.2012339283118,2.85435278472802,3.46261514807697
"Y95B8A.11",0.901473602238358,3.07538544480598,1.69530346978517,2.57715325451893,3.30156569874292,1.83088808871873,3.76891475237469,3.67039848818162
"Y95B8A.5",3.40678698410494,3.75297332609709,3.43843525079607,4.09783830652596,4.29401781531022,4.25630116903925,5.21919950418402,6.23914596037315
"Y95B8A.4",0.239082703997239,0.356070546507503,0.449606800634365,1.71526081763124,3.50705883666034,4.42417636874824,2.59243311673749,0.818303312568624
"Y95B8A.12",4.41768376875542,3.91079021507836,3.19918704660462,1.82238753091577,1.61807416958571,2.16974224849587,1.25356577157292,1.19644337830617
"Y95B8A.16",0,6.32804655627074,3.51832111075373,3.52349922882202,3.32308755565944,3.58015754704052,2.53029302402452,4.02120430982809
"Y95B8A.2",3.79184532053546,3.49091664368786,6.83713591392318,4.20746341420971,5.62207818318578,4.98214937966436,3.40937735776754,1.95261313134312
"Y95B8A.1",0.532399752938637,0.693941411517335,4.22572994262215,1.91365346289088,3.12220389099486,2.24411071687049,1.33509446020517,0.443092069204696
"Y95B8A.15",6.75175827168303,3.7320412161324,6.13033374061474,0,0,0,0,0
"Y95B8A.13",0,0,3.8992046388023,0,0,0,0,0
"Y34D9B.1",3.48881061290125,3.13914693183326,4.43154273347672,3.70884937710518,3.23470823711978,3.74838609068047,3.11595877523187,2.89359908067816
"F54A5.2",4.16524468890001,3.81674304739512,4.63032974664484,3.59202640702392,2.84848974317246,2.92274969740541,1.5358290163976,2.01809288394447
"F54A5.3",4.74368191204994,4.67910283821162,4.32148800578289,3.8750329703227,3.30127156519662,3.38164746167849,3.34012355467495,3.43256929254346
"F54A5.5",5.3368831957518,0,0,0,0,0,0,0
"F54A5.1",1.61217318291088,2.57496129674126,4.55604309178908,3.71892051082171,2.253160310216,3.35264836988275,2.4090079770778,4.27031962428917
"C54G6.3",2.32817297061124,3.59066189596526,2.5543801062302,1.39541383088666,0.821137920932265,2.07958632891695,1.13588942579026,0.898569803448396
"C54G6.2",1.6118333654459,1.84056797023117,1.31464432670045,0.538589811684389,0.511589481659917,1.05644480101967,0.496628008400989,0.300510344324614
"C54G6.1",0.809830111023245,1.60791496765766,1.20709946352464,2.54226795665164,3.47101833383265,2.29217804643757,4.42087983968884,4.68401639399285
"C54G6.5",10.450530823804,9.42793295446517,10.8379195961273,11.6649938584169,12.1426623241875,10.8916394265003,11.4131783388957,9.49021310267977
"Y34D9A.11",7.66894169843564,5.57087272936451,7.35198161045256,8.10502324441732,8.45128942743743,9.67993219040162,7.14213769828776,7.37403962758151
"Y34D9A.8",4.16556629370768,4.8802202227087,2.67893275683028,2.53415625126995,3.17392853055298,4.35983739296312,2.29816560386328,3.12736584464631
"Y34D9A.6",7.95414977108653,9.31456964991058,7.77196478726922,7.35630230073033,8.10816373792621,8.08097204622589,7.4448078446426,7.72265727818156
"Y34D9A.1",5.17645841789892,4.72657512683151,5.36660547927964,4.92619397943868,5.1593708466602,4.07735410268463,5.38448849073954,4.80246725126257
"Y34D9A.4",4.3893671884288,5.55035277966005,3.69193609825517,4.24612681790937,4.88620869835867,3.94081511263918,5.52579953355814,5.91891808248984
"Y34D9A.3",2.14090950654166,2.47312709461431,2.46832785787065,2.63913026786641,2.71570451226054,1.62819033461521,3.82845895159877,4.01488192337782
"Y34D9A.7",2.29080183806501,3.54691914750598,2.01815699470109,1.82414054660158,2.50477037404766,2.24475617578853,3.15945481196179,4.31639196441049
"Y34D9A.10",5.55842683609935,5.85035438686345,5.39225902679765,5.07233736790032,4.91586504142251,5.45665175420481,5.31491762528977,6.57389405276652
"Y34D9A.2",3.77538772809043,3.51850996083855,3.16631535490106,2.33080217481875,1.97859835634551,2.08266853097165,1.39424522356224,1.17136697561622
