"","EE_50.0","EE_50.30","EE_50.60","EE_50.90","EE_50.120","EE_50.150","EE_50.180","EE_50.210","EE_50.240","YA","AdultSPE9"
"E01A2.10",0.615333424671469,1.23486302195476,1.48410718834886,1.61268275907708,2.25092823355671,1.71580992458559,0.730440844827913,0.57180687720128,0.549824889609421,4.67980097549649,1.53087479063817
"E01A2.8",0.749851732910132,2.57717259472877,1.74916523378778,2.21979426264282,2.57286542124135,4.21052913696217,0.229811846084741,0.461184870046069,0,0,0.163399543589168
"R12E2.15",1.89137252210085,0,0,6.71741596054625,0,0,0,0,0,6.7720043900154,6.50832881407346
"R12E2.14",2.19241197369389,0.990702956555093,0,6.22904565666144,0.508205511965888,0,2.94175988407285,1.64688612787264,3.55213110825378,5.64907794066951,5.33203117601946
"R12E2.6",0,0,0,0,0,0,0,0,0,2.21173803234381,1.17347287120022
"R12E2.7",1.51138201140165,0,0.492851993085758,5.45308951399201,0,0,0.343590883709007,0.657229315966957,2.27665745241238,6.06676516079178,4.33869538494313
"R12E2.8",1.61219677837398,1.1116723677385,1.85414330135331,1.41530437317633,1.33571762621659,4.21751767540316,2.75475070681512,4.117038367273,1.53869210910366,1.06430345043805,0.914709933702975
"R12E2.9",0.274567018029083,0.259800349039208,0.338314871347412,2.36687889967902,0.317857419876351,3.61107792883176,3.82625356265487,5.25130629402839,3.40847139181629,5.31542856201016,3.27272495072626
"R12E2.5",0.231986523029397,0.217893273005799,0.101848382612385,1.11639802879522,0.0719958701350771,2.4043418438335,2.18816984699781,2.77428525702554,1.98308663407657,4.6001329479383,2.62699975133766
"R12E2.4",0.524293405165978,0.745457646361495,0.127148426316868,1.50473224459929,0.674070998968444,2.25634948303074,1.45393893476044,2.05311828918999,1.35732678586246,4.95219376356509,2.00845103269327
"R12E2.10",5.80895388140622,4.73334891693807,4.41127030691411,3.83748917550033,4.0892608459548,1.96842995291716,2.53983377242165,1.6541055347348,2.162503315816,6.85622630778879,7.80478928214714
"R12E2.18",0,0,0,0,0,0,0,0,0,2.50298930051111e-08,0
"R12E2.16",0,0,0,0,0,0,0,0,0,2.97696845094999,0
"R12E2.11",6.45975454945043,6.2010907881443,5.81383248612881,5.7821175850955,5.73221763498745,4.78760485042373,4.89128793840273,4.94375258042301,5.12760026573164,6.70278219483527,7.01428833466084
"R12E2.12",6.4228586608869,6.55238783101179,6.5151857373149,6.80927294616438,6.38222628502971,6.99505481216601,8.10827353147257,7.90688458436666,8.30300897386491,6.44134071688887,6.63791014863835
"R12E2.3",7.92928800207788,7.89987650169995,7.29307614674767,7.69020056327742,7.39673320529134,6.85071192683766,6.22870327027574,6.18532345073739,5.83640893227974,7.84359448487696,7.67245362983222
"R12E2.17",0,0,0,0,0,0,0,0,0,0,0
"R12E2.13",7.33656011594067,7.33171417241468,7.00359099368875,7.58787500509682,6.79202238753514,8.56403132518296,9.04239810402997,8.5217025043339,8.4988850989819,6.81809640435341,7.22719233773229
"R12E2.2",5.31129965903393,5.34521893740405,4.8255719544078,4.62941490961077,4.91042567285167,2.99915036315828,1.37280169329175,2.02808817368227,0.990802416640785,5.9862083975994,6.48698782855475
"R12E2.1",5.21015114932007,5.39415740261718,5.15260123703205,5.20831045453283,5.16716521294772,3.52718296344941,3.78800700412042,4.29939853315262,3.80593213560014,4.27773931953676,4.83945576522463
"C18E3.7",6.67464425355493,6.32339529078207,5.82132755421968,5.48502423332337,5.59013489719807,1.73669578496561,1.82534196613831,1.716929455133,1.87683712794079,7.4947516027231,7.88770803302981
"C18E3.6",5.87052994186186,5.74150204211642,5.10399691545864,5.10733217268965,5.04608064920373,3.94407130654592,4.15939506792179,3.51092395311885,2.69003933041325,5.82920771201572,5.27422065383846
"C18E3.5",7.31238382349716,6.98802566767468,6.61512051210596,6.82551853119843,6.20251959215302,3.35459461756545,4.4861994925681,4.40167142063179,4.67644795955089,4.96628740895257,5.3963890029391
"C18E3.3",2.27843979375756,3.4879879125322,3.84148006357469,3.82556177871092,4.15617006526889,4.19214681127728,2.29375891772155,2.75399596181183,0.76655445616636,2.14996167903687,2.22595045649395
"C18E3.8",5.65571531906795,5.31774181820497,4.55421431626777,4.60173216748299,4.46234030539491,2.45598076518586,0.796936585630197,1.01954536197395,0.774930821280949,5.11099374171618,5.18768462185759
"C18E3.2",7.18504389536895,7.55554777164706,7.66261141419404,7.52232258790178,7.67037299283895,6.36078037856267,6.29146910944315,6.56815678424173,6.00722690300676,5.5543801062302,6.31711047545608
"C18E3.1",0.179742881972457,0.813301392899395,0.53345271243565,0.596157546779298,0.89533054419291,1.39238886876404,0.633047060552349,0.795619014093682,0,1.77365881311036,1.20252429369835
"C18E3.10",0,0,0,0,0,0,0,0,0,4.24780601821922,2.61816816388762
"C18E3.9",5.17867480917774,5.55212495864545,4.29643538132462,4.64468694288434,4.76410194812467,3.04781056969821,1.91305598482015,2.29109369212355,1.17143102991809,5.41306935831026,5.14608493861619
"C43E11.6",2.4411248859954,2.59574949923351,2.47473973655744,3.64836189660521,2.75605828161862,2.51856535217452,3.08414762565484,3.62601853270775,2.61136362481171,2.51315466714587,2.76176821873483
"C43E11.5",0.290912690600602,0.1446194169899,0.358283722852818,0.441349615069576,0.178175381926204,0.615749623012275,0.629579506531668,0.686878771844108,0.768418948795586,4.09242734436089,1.18807803877179
"C43E11.7",4.8242841586985,3.86892377132561,3.7105254423386,3.50543366518182,3.57951808930982,3.20551919682283,2.53738056355073,2.79519549081701,2.16085243928301,5.0674537220512,4.78973446718355
"C43E11.8",4.34828200040459,4.9804457964424,4.52108215413381,4.49524105149954,4.72467209751403,4.17751122968249,3.35122265542171,3.45992991813192,2.46756642561918,4.83322913419163,4.65907398508342
"C43E11.4",4.57506419485016,4.1375527056971,3.51338967759684,3.31948354228497,3.22752699653772,3.45466548396726,2.52573565090981,2.9631411559292,2.57013257919045,5.6866349856978,5.39914374389156
"C43E11.11",4.78813232781506,5.22554101407134,4.67041548482643,4.64928779788402,4.96019659585561,4.69955163252309,4.01005472915206,4.08672433185942,3.49784225886096,5.27038690841636,5.58254094977358
"C43E11.12",7.39202541923342,7.24891428303624,6.52790857709287,7.03157164035829,7.08114785762752,7.59740453806086,5.47244228036137,5.18021550579854,4.50957550677546,5.82842594643545,6.68026808838944
"C43E11.3",3.04036995072419,4.09946353699544,4.71688666552295,4.20960152670068,5.0735803353118,4.36349350936519,2.16972621643117,3.10719740353214,1.11212627632865,4.63904110350247,5.20595546711974
"C43E11.2",5.59049124130437,5.56018913080792,5.00785479156861,5.10709359758585,5.12421231767821,4.76959720913158,4.61432703750532,4.29629587521966,4.31028921817543,4.89846958148001,5.30092906550743
"C43E11.9",5.90071468316135,5.69216492693222,5.954484820545,6.31843434930328,6.15849457094663,8.69007481995594,8.24654110094166,7.97202628745578,8.5582599796687,7.13787234749232,6.91421768011184
"C43E11.10",4.57425897250611,5.519749462617,5.10412695052722,5.69668382625676,5.77231853328511,5.91963326396874,4.99014254869561,4.90414686766309,4.13357174526555,5.47658906817504,5.47659230826052
"C43E11.1",5.16195618861543,6.24498407253766,6.295451208118,6.14896866698676,6.54660280542239,5.96612587440514,5.18756982205622,5.57813565096358,4.22801825363819,4.9695050980865,5.5970990756913
"Y47D9A.2",5.42134450071843,5.06337782277731,4.82499691497493,5.02853379159086,4.67240836898882,4.7739488672569,4.944919337495,4.69724560931936,4.85496809091899,3.37094541257664,3.9663935503795
"Y47D9A.1",5.49114760628695,4.74744111030744,3.99416332804603,4.18734019504492,3.90544717873885,3.333635542448,3.35963642400127,3.47205879835683,3.61027484376722,5.63083062175995,5.90909623213907
"ZK973.6",0.324687349956588,0.538521278287828,0.999424971444155,1.71281145328654,1.26321473144379,0.732318699701048,0.757260546056356,1.77883094611821,0.482208090295808,4.60816461605985,4.58282091434097
"ZK973.19",0,0,0,0,0,0,0,0,0,0,0
"ZK973.12",3.54752386222768,6.61744542522707,4.39227620233158,3.59822226280251,2.66641348502375,10.4909310799336,8.97131937276256,0.000370980280777239,0,10.6638427015533,10.6545465285409
"ZK973.14",0,0,4.40136423693754,5.81800434469467,3.82763613618939,2.32406610752246e-07,9.94092578666206,1.28780239857952e-06,2.37773259144039e-06,10.7018868891342,11.1403696706515
"ZK973.24",0,0,0,0,0,0,0,11.7760875338844,0,0,0
"ZK973.23",0,0,0,0,0,0,0,0,0,0,0
"ZK973.8",1.49966478162061,0.966792941350016,0.821927317160285,1.02780517022087,0.922259513726649,1.08000949871634,0.897532420737851,1.0703755878732,1.18064437859056,2.70706089826347,1.52875633202099
"ZK973.3",7.15263976754731,6.4912213782145,5.89297624306989,5.54231067931273,5.67848605693355,4.03272681582889,4.52465924141292,4.55829212782134,4.0598224856195,5.81891189866636,6.53045940076837
"ZK973.9",8.09735269798226,7.1548181090521,7.43378571462992,7.01281446491624,7.28550394377231,5.10385847815043,6.55118222120778,5.7106246220094,6.43664825369387,5.56567637568842,7.02267851388606
"ZK973.10",8.80946589463946,8.60637930132902,8.20777086536944,8.30522272235101,7.97771495640741,9.30963550763556,8.43368140899524,8.79650041868365,8.96098077848873,7.94146435732311,7.49655821927303
"ZK973.2",5.87839429767176,6.0051349602645,5.38571402616765,5.34331898366107,5.67234330403866,2.98833385338674,2.32561379679639,2.77354277512145,1.42437392116242,5.28206907519813,5.92490749274467
"ZK973.11",4.99659211957122,5.40899032048537,5.32664160612556,5.53118180890201,5.41612024126466,5.26546690187352,5.39930099889896,5.49041930702242,5.11986659160062,4.80604044042444,5.34154461918028
"ZK973.1",5.14150227536119,4.6670916671725,3.69588248975317,3.86050598795403,3.75232042845967,4.07172835169306,2.27712482330352,2.78475522869241,1.39634584341751,6.13771253544714,6.07025192182044
"T21E12.4",3.74241588671189,4.83945576522463,5.29953041325395,4.53064510824256,5.01578299724093,1.9568112671201,1.0455128670835,1.72696196896596,0.498180390792046,5.16842542251139,5.83354793554606
"T21E12.2",0.13899135527007,0.671477264744453,0.11764145585876,0.489881990786053,0.307759578431722,0.10999607452252,0,0.449099638318404,0.144188673692736,1.45240566328368,0.887747506643669
"T21E12.5",0,0,0,0,0,0.538285856170687,0.981885524447838,1.65552127807846,0.644996968118682,1.3266178791083,0.109793938071442
