"","DauerEntryDAF2","DauerDAF2","DauerExitDAF2","YA","AdultSPE9"
"F54E7.6",0.25102703888167,0.217177351030031,0.113809163876189,0.352755135776575,0.158784245016076
"F54E7.3",4.68448214423812,5.39849061034455,3.587893002303,5.56895022298629,6.50002282556901
"F54E7.9",5.60800489338702,6.38333795692689,5.70044249255196,5.49396749887319,5.53724636097907
"F54E7.8",3.58886451819015,4.07091306851266,3.48516918005091,6.06297218831871,6.41903487145232
"F54E7.2",12.6223470107969,12.7353910141627,13.6083587920893,11.8862605306363,11.4877144455713
"F54E7.10",14.1785403680657,11.2139000954856,13.1594093860284,6.06531811156217,2.40659381089903
"F54E7.11",15.6235185992603,13.2007101353261,14.3944827914481,7.70117475045325,4.6586456543376
"F54E7.1",3.79299066373349,3.85187894057588,3.49768900076968,5.1088422328595,4.10929368902294
"F54E7.7",6.19739953758939,7.12175107074474,5.85076692512373,4.54285853173092,4.16974866127186
"B0336.6",4.52650706390201,4.8138273567197,4.20048081262961,6.73213349945518,6.85635082403558
"B0336.5",2.89025016924931,3.18271771923126,2.95688001780548,5.44558104947187,5.8730429321497
"B0336.13",3.54366909541645,3.87324230566228,3.74575364064054,5.25147294253309,5.93125046732124
"B0336.7",3.02218846378974,3.46264132083995,2.86010665734999,4.14117117246074,4.25265029589828
"B0336.8",5.57102751178155,5.54849827701292,5.42744526845165,6.62733543186025,7.55240012796144
"B0336.4",2.60733504874095,3.30375883365561,3.07610925165929,3.09655872888046,2.68366277231705
"B0336.9",4.84930876167209,5.4740206326522,5.29818907014132,5.35362323326509,5.23075637080115
"B0336.10",11.7976979980202,11.8903668886672,12.7817162446613,11.7439507993671,10.7024237929
"B0336.11",4.18704716957826,3.20703853576924,4.2408256702799,2.42300528177313,1.32849757487827
"B0336.3",5.04953928959541,5.40008360038175,4.47503298651032,5.71392121833431,6.44463725330974
"B0336.2",8.60605351870156,8.42632766154459,9.13458033638116,9.02022993135689,8.76483842495163
"B0336.16",0,6.74387845038636,0,0,1.38746731992769
"B0336.1",3.47588903911794,4.181865847826,3.45180587421289,5.08114785762752,5.315997264531
"B0244.8",1.39365781930037,1.30770246551357,1.20032857273934,8.19445154193912,8.94010213321552
"B0244.9",0.0510467016192288,0,0,3.8093321197735,0.936792823138717
"B0244.10",1.69698198787595,2.00751128068236,2.25844957720149,2.41321765453087,0.478963524069031
"B0244.2",7.81215804805501,8.34894498473657,7.03853495090902,3.66547236267744,4.48742846545121
